Time (h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),Sugar feed rate(Fs:L/h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Oxygen Uptake Rate(OUR:(g min^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Fault reference(Fault_ref:Fault ref),Batch_Number
0.2,0.95749,14.711,1.0178000000000001e-25,6.4472,298.22,0.089514,8.0,30.0,100.0,0.48051,,0.0,1
0.4,1.0046,14.699,0.001,6.4932,298.17,0.10176,8.0,30.0,100.0,0.058147,,0.0,1
0.6,1.0498,14.686,0.00099934,6.5425,298.14,0.1058,8.0,30.0,100.0,-0.041505,,0.0,1
0.8,1.0942,14.661,0.00099874,6.5753,298.11,0.10819,8.0,30.0,100.0,-0.056737,,0.0,1
1.0,1.137,14.633,0.00099821,6.5825,298.09,0.1103,8.0,30.0,100.0,-0.049975,0.52808,0.0,1
1.2,1.1782,14.621,0.00099771,6.5717,298.08,0.11242,8.0,30.0,100.0,-0.045267,,0.0,1
1.4,1.2172,14.604,0.00099722,6.5521,298.07,0.11463,8.0,30.0,100.0,-0.039369,,0.0,1
1.6,1.2544,14.583,0.00099674,6.5287,298.06,0.11694,8.0,30.0,100.0,-0.031033,,0.0,1
1.8,1.2891,14.547,0.00099627,6.5061,298.06,0.11936,8.0,30.0,100.0,-0.016025,,0.0,1
2.0,1.3218,14.529,0.0009958,6.4844,298.05,0.12189,8.0,30.0,100.0,-0.0071831,,0.0,1
2.2,1.3523,14.509,0.0009953,6.4728,298.05,0.12453,8.0,30.0,100.0,0.00095122,,0.0,1
2.4,1.3804,14.496,0.00099477,6.4764,298.05,0.12729,8.0,30.0,100.0,0.0054429,,0.0,1
2.6,1.406,14.462,0.00099421,6.4915,298.05,0.13018,8.0,30.0,100.0,0.018177,,0.0,1
2.8,1.429,14.434,0.00099363,6.51,298.05,0.13318,8.0,30.0,100.0,0.030167,,0.0,1
3.0,1.4495,14.408,0.00099306,6.5233,298.05,0.13631,8.0,30.0,100.0,0.040673,,0.0,1
3.2,1.4813,14.372,0.00099251,6.5239,298.06,0.13957,15.0,30.0,100.0,0.054921,,0.0,1
3.4,1.5099,14.326,0.00099198,6.5122,298.06,0.14297,15.0,30.0,100.0,0.074225,,0.0,1
3.6,1.5362,14.289,0.00099147,6.4945,298.06,0.14649,15.0,30.0,100.0,0.091194,,0.0,1
3.8,1.5601,14.254,0.00099095,6.4808,298.06,0.15015,15.0,30.0,100.0,0.10584,,0.0,1
4.0,1.5812,14.213,0.00099039,6.4791,298.06,0.15395,15.0,30.0,100.0,0.12264,,0.0,1
4.2,1.6269,14.168,0.00098981,6.4889,298.06,0.1579,15.0,30.0,100.0,0.13701,,0.0,1
4.4,1.6703,14.13,0.00098922,6.5052,298.07,0.16198,15.0,30.0,100.0,0.15252,,0.0,1
4.6,1.7103,14.083,0.00098863,6.5188,298.07,0.1662,15.0,30.0,100.0,0.17099,,0.0,1
4.8,1.7475,14.049,0.00098806,6.5223,298.07,0.17057,15.0,30.0,100.0,0.18465,,0.0,1
5.0,1.7819,14.003,0.00098753,6.5126,298.08,0.17508,15.0,30.0,100.0,0.20142,,0.0,1
5.2,1.8122,13.967,0.00098702,6.4954,298.08,0.17976,15.0,30.0,100.0,0.21438,,0.0,1
5.4,1.839,13.923,0.00098651,6.4821,298.08,0.1846,15.0,30.0,100.0,0.22995,,0.0,1
5.6,1.8633,13.875,0.00098597,6.4792,298.09,0.1896,15.0,30.0,100.0,0.24847,,0.0,1
5.8,1.8842,13.83,0.0009854,6.4876,298.09,0.19475,15.0,30.0,100.0,0.26607,,0.0,1
6.0,1.9017,13.797,0.00098481,6.5015,298.08,0.20005,15.0,30.0,100.0,0.2775,,0.0,1
6.2,1.915,13.745,0.00098423,6.5145,298.08,0.20552,15.0,30.0,100.0,0.29452,,0.0,1
6.4,1.9241,13.692,0.00098366,6.5194,298.09,0.21118,15.0,30.0,100.0,0.31348,,0.0,1
6.6,1.93,13.648,0.00098312,6.5144,298.09,0.21701,15.0,30.0,100.0,0.32857,,0.0,1
6.8,1.9325,13.596,0.00098259,6.5012,298.09,0.22303,15.0,30.0,100.0,0.34544,,0.0,1
7.0,1.931,13.527,0.00098207,6.4886,298.08,0.22924,15.0,30.0,100.0,0.37052,,0.0,1
